50022.31
Index	Sum
1	65714.64
2	56250.25
3	74983.55
4	69584.88
5	72806.58
6	68815.02
7	64611.45
8	50654.97
9	66498.08
10	54632.63
11	57564.34
12	53866.57
13	51863.94
14	57208.89
15	38789.74
16	70471.34
17	57995.27
18	47065.58
19	37750.14
20	50747.93
21	48695.98
22	41677.74
23	37895.10
24	38128.86
25	28218.95
26	34063.54
27	36536.30
28	27512.73
29	15850.12
30	19402.77
31	35640.38
32	24682.34
33	 6223.59
34	20497.75
35	18956.33
36	14502.84
37	12769.62
38	-3909.83
39	-2955.87
40	 5549.26
41	10131.53
42	-12152.86
43	-3002.19
44	-6831.81
45	-14181.61
46	-11679.55
47	-12393.59
48	-20086.90
49	-17155.75
50	-24140.91
51	-32104.08
52	-32835.57
53	-41169.71
54	-36128.40
55	-40985.98
56	-30000.55
57	-35843.31
58	-47834.56
59	-54251.31
60	-39240.73
61	-52322.44
62	-52298.98
63	-62629.34
64	-46070.60
65	-48190.14
66	-56357.10
67	-47569.71
68	-50194.94
69	-58208.58
70	-57033.16
71	-63793.70
72	-69903.95
73	-62870.11
74	-58715.53
75	-57681.98
76	-67855.61
77	-57007.86
78	-61616.96
79	-66365.13
80	-69078.26
81	-58680.44
82	-77704.81
83	-66296.21
84	-54655.01
85	-58983.86
86	-67470.68
87	-61201.95
88	-59452.08
89	-54489.27
90	-54099.40
91	-54524.35
92	-46528.27
93	-52642.91
94	-49664.79
95	-54750.07
96	-46755.55
97	-46317.70
98	-47863.79
99	-47151.17
100	-52662.79
101	-35396.01
102	-44594.69
103	-45516.92
104	-48238.45
105	-15095.52
106	-28934.75
107	-36615.08
108	-21613.10
109	-35151.66
110	-26882.20
111	-32267.26
112	-14164.62
113	-19345.50
114	-15551.24
115	-3350.60
116	-4344.02
117	-7645.08
118	-7825.73
119	-5308.77
120	 1908.22
121	 4165.88
122	-5836.25
123	 -210.06
124	11513.41
125	 8367.14
126	18091.12
127	 7452.31
128	17892.33
129	20538.52
130	26271.24
131	18153.54
132	27196.27
133	33308.22
134	32197.25
135	37149.09
136	40179.85
137	41429.02
138	44684.59
139	53033.17
140	56462.22
141	45851.80
142	49740.41
143	45105.99
144	45080.76
145	42886.77
146	52269.59
147	55465.81
148	54043.10
149	59130.47
150	55174.95
151	51211.16
152	67530.96
153	53620.52
154	59626.95
155	62428.53
156	65096.97
157	63746.53
158	64768.29
159	63764.52
160	51932.19
161	63949.59
162	73140.25
163	73317.36
164	64818.67
165	58976.14
166	59085.68
167	66363.04
168	63001.79
169	54820.48
170	54138.81
171	46422.98
172	52582.82
173	50320.75
174	50703.09
175	58189.05
176	61541.70
177	47194.07
178	55805.36
179	49217.99
180	51835.23
181	41696.47
182	43158.88
183	48874.62
184	44890.05
185	32350.89
186	22620.66
187	26369.60
188	15654.83
189	23584.68
190	23917.94
191	20732.26
192	19545.21
193	  677.43
194	18642.92
195	16073.08
196	14908.26
197	11590.62
198	-2289.86
199	10850.69
200	-6709.76
201	-3639.22
202	  889.75
203	-16225.55
204	-14284.16
205	-15015.95
206	-24515.36
207	-15953.47
208	-20812.64
209	-17979.75
210	-14412.57
211	-8449.66
212	-23815.86
213	-22257.94
