Max Performance:  1790.35 MegaShifts/s
Index	Sum
1	65714.62
2	56250.33
3	74983.21
4	69584.84
5	72806.50
6	68814.87
7	64611.36
8	50654.97
9	66498.11
10	54632.53
11	57564.25
12	53866.50
13	51864.11
14	57209.02
15	38789.75
16	70471.02
17	57994.97
18	47065.93
19	37750.05
20	50747.72
21	48696.19
22	41677.65
23	37895.29
24	38128.81
25	28219.00
26	34063.55
27	36536.29
28	27512.65
29	15850.14
30	19402.77
31	35640.23
32	24682.27
33	 6223.58
34	20497.76
35	18956.37
36	14502.79
37	12769.61
38	-3909.82
39	-2955.86
40	 5549.26
41	10131.55
42	-12152.88
43	-3002.20
44	-6831.82
45	-14181.62
46	-11679.47
47	-12393.57
48	-20087.07
49	-17155.92
50	-24140.86
51	-32104.06
52	-32835.62
53	-41169.77
54	-36128.44
55	-40986.07
56	-30000.53
57	-35843.43
58	-47834.43
59	-54251.21
60	-39240.78
61	-52322.56
62	-52299.09
63	-62629.06
64	-46070.38
65	-48190.20
66	-56357.29
67	-47569.70
68	-50194.81
69	-58208.69
70	-57033.42
71	-63793.87
72	-69904.38
73	-62870.19
74	-58715.55
75	-57681.99
76	-67855.46
77	-57008.09
78	-61617.08
79	-66365.21
80	-69078.36
81	-58680.28
82	-77704.34
83	-66296.20
84	-54655.20
85	-58983.98
86	-67470.73
87	-61202.09
88	-59452.14
89	-54489.42
90	-54099.47
91	-54524.45
92	-46528.09
93	-52643.07
94	-49664.84
95	-54749.99
96	-46755.27
97	-46317.83
98	-47863.79
99	-47151.28
100	-52662.82
101	-35396.04
102	-44594.64
103	-45517.02
104	-48238.59
105	-15095.61
106	-28934.66
107	-36614.98
108	-21613.03
109	-35151.85
110	-26882.25
111	-32267.25
112	-14164.61
113	-19345.57
114	-15551.32
115	-3350.64
116	-4344.02
117	-7645.09
118	-7825.71
119	-5308.75
120	 1908.22
121	 4165.88
122	-5836.27
123	 -210.05
124	11513.39
125	 8367.12
126	18091.00
127	 7452.29
128	17892.19
129	20538.55
130	26271.22
131	18153.54
132	27196.39
133	33308.04
134	32197.20
135	37149.17
136	40179.76
137	41428.88
138	44684.62
139	53033.04
140	56462.37
141	45851.95
142	49740.11
143	45105.78
144	45080.74
145	42886.79
146	52269.63
147	55465.91
148	54043.03
149	59130.34
150	55175.00
151	51211.23
152	67531.05
153	53620.54
154	59626.86
155	62428.62
156	65096.75
157	63746.63
158	64768.30
159	63764.47
160	51932.36
161	63949.87
162	73140.32
163	73317.48
164	64818.62
165	58976.38
166	59085.62
167	66363.02
168	63001.95
169	54820.57
170	54138.62
171	46423.25
172	52582.76
173	50320.78
174	50703.21
175	58188.90
176	61541.48
177	47194.01
178	55805.43
179	49218.08
180	51835.23
181	41696.36
182	43158.90
183	48874.61
184	44890.25
185	32351.00
186	22620.67
187	26369.61
188	15654.82
189	23584.62
190	23917.94
191	20732.21
192	19545.19
193	  677.44
194	18642.89
195	16073.11
196	14908.34
197	11590.63
198	-2289.85
199	10850.70
200	-6709.75
201	-3639.23
202	  889.76
203	-16225.54
204	-14284.12
205	-15015.88
206	-24515.34
207	-15953.49
208	-20812.71
209	-17979.78
210	-14412.61
211	-8449.69
212	-23815.81
213	-22257.96
214	-36099.11
215	-46850.45
216	-27344.15
217	-35402.80
218	-48599.45
219	-54990.03
220	-58089.09
221	-56793.08
222	-45483.91
223	-41962.70
224	-46075.34
225	-62102.30
226	-53570.36
227	-59736.77
228	-55482.78
229	-58288.11
230	-59788.78
231	-50795.55
232	-61327.56
233	-60170.13
234	-57579.91
235	-70274.94
236	-58089.27
237	-60288.58
238	-69885.69
239	-64073.41
240	-59909.37
241	-71512.21
242	-67481.83
243	-59748.97
244	-62066.92
245	-72589.05
246	-70303.22
247	-53777.96
248	-55996.73
249	-60612.36
250	-54467.56
251	-56648.77
252	-62370.74
253	-51564.16
254	-57334.14
255	-57400.82
256	-53551.52
257	-47048.21
258	-49862.52
259	-58073.68
260	-38445.85
261	-34810.83
262	-34354.78
263	-37033.36
264	-39377.79
265	-29390.99
266	-35179.37
267	-23286.10
268	-25076.05
269	-28252.07
270	-33967.48
271	-18772.75
272	-19734.79
273	-13749.62
274	-17037.92
275	-13726.08
276	-4444.36
277	-9883.62
278	-10432.67
279	-3820.00
280	-1237.57
281	12135.85
282	 1723.17
283	 6393.09
284	 8200.37
285	 6854.05
286	 3639.06
287	18312.95
288	29461.25
289	16990.72
290	28519.87
291	25521.80
292	20731.24
293	35275.11
294	37851.10
295	28173.43
296	49033.63
297	53659.25
298	39464.96
299	44089.94
300	49898.61
301	51604.37
302	48142.70
303	46723.83
304	61248.30
305	46648.91
306	45174.30
307	52104.96
308	59710.01
309	53611.51
310	61559.38
311	59913.49
312	63325.89
313	64533.27
314	56974.91
315	59953.20
316	65373.78
317	62055.07
318	65319.93
319	61561.73
320	67984.94
321	69714.47
322	67687.34
323	63381.73
324	56305.04
325	62428.97
326	62157.38
327	54831.00
328	61206.93
329	62645.64
330	66052.67
331	52557.03
332	58050.69
333	52715.36
334	53406.64
335	48066.69
336	51740.54
337	56815.80
338	53837.59
339	51684.41
340	36070.60
341	41158.75
342	45669.02
343	39724.35
344	32583.76
345	29700.61
346	40659.66
347	24835.51
348	26524.40
349	16274.41
350	30709.16
351	12141.24
352	14196.66
353	19182.59
354	 1001.94
355	17017.53
356	-2566.36
357	10934.35
358	 7706.76
359	 9414.69
360	 2236.56
361	-10524.79
362	 7122.31
363	-7192.47
364	-4586.78
365	-8963.93
366	-6360.16
367	-30962.68
368	-13027.09
369	-30023.03
370	-27174.44
371	-37065.77
372	-32647.98
373	-39017.14
374	-33598.47
375	-32680.64
376	-49466.29
377	-32914.77
378	-41010.71
379	-45441.26
380	-36831.29
381	-55082.27
382	-48785.16
383	-54038.39
384	-55065.57
385	-59329.56
386	-54135.73
387	-51519.55
388	-57211.93
389	-61428.37
390	-56146.21
391	-56491.07
392	-68087.14
393	-73220.59
394	-76771.34
395	-66962.35
396	-72562.82
397	-67655.34
398	-73118.91
399	-73107.24
400	-59861.79
401	-69914.95
402	-64577.62
403	-70276.33
404	-80746.38
405	-55016.77
406	-62592.07
407	-59953.36
408	-61236.84
409	-60951.25
410	-55921.27
411	-62996.05
412	-53742.82
413	-61292.90
414	-49386.64
415	-51596.22
416	-61005.37
417	-55277.97
418	-51634.64
419	-41534.34
420	-34885.16
421	-44238.48
422	-49931.56
423	-42561.32
424	-36110.75
425	-32028.72
426	-30188.98
427	-32187.94
428	-26351.05
429	-34123.32
430	-17315.38
431	-24362.83
432	-21994.33
433	-9505.36
434	-9290.71
435	-28999.53
436	 3156.37
437	-13061.98
438	-9803.80
439	-4563.88
440	 5818.64
441	 5713.53
442	15661.08
443	 7679.55
444	17258.62
445	 4598.83
446	 9417.92
447	24587.56
448	17733.52
449	25300.06
450	17782.54
451	33701.14
452	27722.53
453	41186.20
454	33670.05
455	33115.49
456	45431.40
457	46715.18
458	42552.65
459	30215.89
460	47094.80
461	55810.91
462	50913.21
463	48394.64
464	52254.01
465	60440.83
466	59163.76
467	58099.80
468	57986.54
469	60250.98
470	63662.08
471	58302.52
472	66100.91
473	63494.39
474	59447.23
475	71931.19
476	66948.52
477	61805.59
478	69258.74
479	64419.62
480	54078.62
481	62151.72
482	61996.98
483	64492.50
484	65811.70
485	58315.91
486	62458.81
487	70896.15
488	68093.32
489	61067.57
490	73754.02
491	63017.08
492	55942.52
493	60060.66
494	50378.57
495	47044.55
496	57362.99
497	49089.41
498	53328.28
499	44917.80
500	43325.06
501	46239.88
502	43225.48
503	42830.41
504	29369.05
505	39178.02
506	32838.80
507	31561.54
508	12393.74
509	21795.82
510	13027.31
511	22156.32
512	15506.20
